"Story ID","Epic","Sprint","Story Title","Story Type","Story Points","Priority","Status","Dependencies","Spec Strategy","Acceptance Criteria","Notes"
"DP-01","Infrastructure","Sprint 1","CDK Stack Scaffold (Cognito, API Gateway, CloudFront, S3, Lambda roles)","Infrastructure","8","High","Backlog","","auth-architecture.md §1, files-architecture.md §2, reporting-architecture.md §1","AC:
- StatefulStack deploys: Cognito User Pool 'deliverpro-user-pool' with email username per auth-architecture §1
- S3 bucket 'deliverpro-evidence-{accountId}' created with Block Public Access enabled per files-architecture §2
- S3 CORS configured for CloudFront + localhost:5173 per files-architecture §2.1
- StatelessStack deploys: API Gateway REST API with Cognito Authorizer per auth-architecture §3
- CloudFront distribution created with S3 origin and custom error response (403/404 → /index.html 200) per auth-architecture §5
- Lambda execution role with RDS, S3 (PutObject, GetObject), Secrets Manager, SSM read access
- CDK synth succeeds with zero errors
- cdk deploy completes successfully in us-east-1","Foundation stack for all Phase 2 resources. Must deploy first."
"DP-02","Infrastructure","Sprint 1","V003 Database Migration Script","Backend","4","High","Backlog","DP-01","unified-data-model.md §4","AC:
- V003__phase2_additions.sql applies cleanly to existing V002 schema
- macro_checkpoints gains columns: meeting_date DATE, result_detail TEXT, reached_at TIMESTAMPTZ per §4.1
- macro_checkpoints CHECK constraint updated to include 'checklist' type per §4.1
- projects gains column: hours_consumed NUMERIC(8,2) DEFAULT 0 per §4.1
- gate_evidence gains column: link_metadata JSONB per §4.1
- casdm_config gains column: project_type TEXT NOT NULL DEFAULT 'default' per §4.1
- New unique constraint: (phase, item_name, project_type, config_type) per §4.1
- Tables created: weekly_status_logs, escalations, discovery_sessions, onboarding_checklist_items, analysis_prompts per §4.2
- All indexes from §4 created (6 new indexes)
- 3 QuickSight-ready views created: v_project_summary, v_gate_completion, v_timeline per §4.3
- Migration is idempotent (IF NOT EXISTS where applicable)","Run against ceanalytics RDS instance."
"DP-03","Shared","Sprint 1","Shared Middleware (JWT Validation, RBAC, Error Handler, Request Logger)","Backend","5","High","Backlog","DP-01","auth-architecture.md §2, §3, §4","AC:
- JWT validation middleware verifies Cognito ID token signature using JWKS per auth-architecture §2
- Extracts claims: sub, email, name, cognito:groups from token per auth-architecture §2
- AuthContext type exported with fields: userId, email, name, role, groups per auth-architecture §3
- Role check middleware validates user's group against handler's allowed roles per auth-architecture §3.1
- Returns HTTP 401 with {code: 'UNAUTHORIZED', message: 'Missing or invalid token'} for invalid/expired JWT
- Returns HTTP 403 with {code: 'FORBIDDEN', message: 'Insufficient permissions'} for role mismatch
- Error handler middleware catches AppError and returns structured {code, message, statusCode} per SRS §6 NFR-P2-003
- Request logger logs method, path, userId, duration in structured JSON to CloudWatch
- All middleware exports from packages/shared/middleware/","Shared across all domain handlers."
"DP-04","Auth","Sprint 1","Cognito User Pool + 5 Groups + App Client","Infrastructure","3","High","Backlog","DP-01","auth-architecture.md §1.1, §1.2, §1.3","AC:
- Cognito User Pool 'deliverpro-user-pool' created in us-east-1 per auth-architecture §1
- Password policy: min 8 chars, uppercase + lowercase + number + symbol per §1
- Self-registration disabled per §1
- 5 groups created: admin, leadership, pm, sa, engineer per §1.2
- App client 'deliverpro-spa-client' created with no client secret per §1.3
- OAuth flow: Authorization Code with PKCE per §1.3
- Callback URLs: https://{cloudfront-domain}/callback, http://localhost:5173/callback per §1.3
- Token validity: Access 1hr, ID 1hr, Refresh 30 days per §1.3
- Scopes: openid, email, profile per §1.3
- Cognito domain prefix 'deliverpro-auth' configured per §1.4","Admin creates users manually. No self-signup."
"DP-05","Projects","Sprint 2","Project CRUD Handlers (list, get, create, update)","Backend","5","High","Backlog","DP-02,DP-03","projects-architecture.md §2.1, §2.2, §2.3, §2.4","AC:
- GET /api/projects returns ProjectListResponse with projects[], next_cursor, total_count per §2.1
- Default filter excludes status='Closed' and 'TEMPLATE' when no status param per §2.1
- Supports query params: status, phase, pm, sa, type, search (ILIKE on title/jira_key), limit (max 100), cursor per §2.1
- current_phase computed at query time per projects-architecture §4 (highest phase with all mandatory checkpoints reached)
- burn_rate_pct computed as (hours_consumed/sow_hours)*100, null if sow_hours is 0 or NULL per §2.1
- GET /api/projects/{projectId} returns full ProjectDetail per §2.2
- Returns 404 {code: 'PROJECT_NOT_FOUND'} for unknown projectId per §2.2
- POST /api/projects creates project with Zod-validated body per §2.3
- Required fields: title, project_type; optional: sow_hours, project_manager, solution_architect, etc per §2.3
- Returns 201 with created project per §2.3
- PATCH /api/projects/{projectId} updates mutable fields per §2.4
- Auth: all handlers require pm, sa, engineer, leadership, or admin role per §2.1","Core project CRUD. Phase computation is query-time join."
"DP-06","Projects","Sprint 2","Jira One-Time Import Lambda","Backend","4","High","Backlog","DP-02,DP-03,DP-05","projects-architecture.md §5.1","AC:
- POST /api/projects/import-jira triggers one-time Jira CST import per §5.1
- Auth: admin role only per §5.1
- Calls Jira Cloud REST API to fetch all issues from CST board
- Maps Jira fields to projects table: jira_key, title, description, status, project_manager, solution_architect, account_executive, engineers_assigned, planned_kickoff_date, expected_completion_date, sow_hours, project_type per §5.1
- Jira API token read from Secrets Manager per SRS §8.2
- Import is idempotent: SSM parameter '/deliverpro/config/jira-import-completed' set to 'true' after first run per §5.1
- Subsequent attempts return HTTP 409 {code: 'IMPORT_ALREADY_COMPLETE', message: 'Jira import has already been executed'} per FR-P2-009
- Per-issue failures are logged and skipped; response includes success_count and error_count per §5.1
- Returns 200 with {imported: number, errors: number, status: 'completed'}","One-time import. App replaces Jira going forward."
"DP-07","Projects","Sprint 2","CASDM Template Seeding on Project Create","Backend","4","High","Backlog","DP-02,DP-05","projects-architecture.md §5.2, §5.3","AC:
- On POST /api/projects (project creation), system seeds micro_artifacts from casdm_config where config_type='micro_artifact' AND project_type matches per §5.2
- Seeds macro_checkpoints from casdm_config where config_type='macro_checkpoint' AND project_type matches per §5.2
- Seeds 9 onboarding_checklist_items per FR-P2-019 AC (Set up Slack/Teams, Set up Clockify, Assign resources, Complete SOW handoff, 5 customer intro emails) per §5.3
- If project_type has no config rows, falls back to project_type='default' per §5.2
- Seeding is transactional — all-or-nothing per §5.2
- Template project (jira_key='__template__') is never returned in list queries per §2.1","Seeding runs inside the create-project transaction."
"DP-08","Projects","Sprint 2","Onboarding Checklist CRUD","Backend","4","High","Backlog","DP-02,DP-03,DP-07","projects-architecture.md §3.3","AC:
- GET /api/projects/{projectId}/checklist returns all onboarding_checklist_items for the project per §3.3
- Response includes items[], progress: {completed: number, total: number} per §3.3
- PATCH /api/projects/{projectId}/checklist/{itemId} toggles completed field per §3.3
- When completed=true: sets completed_by to current user email, completed_at to now() per §3.3
- When completed=false: clears completed_by and completed_at per §3.3
- Auth: pm, sa, leadership, admin roles per §3.3
- Returns 404 {code: 'CHECKLIST_ITEM_NOT_FOUND'} if itemId invalid per §3.3
- When all 9 items completed, the checklist-type macro_checkpoint for onboarding gets reached_at set per gates-architecture §4","9 items seeded on project creation."
"DP-09","Projects","Sprint 2","Resource Budget Update Handler","Backend","3","High","Backlog","DP-02,DP-03,DP-05","projects-architecture.md §3.2","AC:
- PATCH /api/projects/{projectId}/hours accepts {hours_consumed: number} per §3.2
- Validates hours_consumed >= 0 via Zod per §3.2
- Updates projects.hours_consumed for the given projectId per §3.2
- Auth: pm, leadership, admin roles per §3.2
- Returns 200 with updated {hours_consumed, sow_hours, burn_rate_pct} per §3.2
- burn_rate_pct = (hours_consumed/sow_hours)*100; null if sow_hours is 0 or NULL per §3.2
- Returns 404 {code: 'PROJECT_NOT_FOUND'} if projectId invalid per §3.2","PM manually updates consumed hours."
"DP-10","Gates","Sprint 3","Gate Status View Lambda","Backend","5","High","Backlog","DP-02,DP-03","gates-architecture.md §2.1, §5.3, §5.4","AC:
- GET /api/projects/{projectId}/gates returns GateStatusResponse per §2.1
- Response contains phases[]: each with phase, phase_name, micro_artifacts[], macro_checkpoints[], phase_complete boolean per §2.1
- micro_artifacts include: artifact_name, status, completed_at, completed_by per §2.1
- macro_checkpoints include: checkpoint_name, checkpoint_type, occurred, reviewed_by, meeting_date, reached_at, result_detail, evidence_count per §2.1
- Phase 1 governance_events integrated: reads governance_events table where project_id matches per §5.4
- Governance events interleaved chronologically with checkpoint data per §5.4
- phase_complete = true when all mandatory macro_checkpoints for that phase have reached_at IS NOT NULL per §2.1
- Auto-reconciliation: if governance_events contains a macro gate approval matching a checkpoint, that checkpoint shows reached_at from the event per §5.3
- Returns 404 {code: 'PROJECT_NOT_FOUND'} if projectId invalid per §2.1
- Auth: all authenticated roles per §2.1","Core governance view. Joins multiple tables."
