"Story ID","Epic","Sprint","Story Title","Story Type","Story Points","Priority","Status","Dependencies","Source","Acceptance Criteria","Notes"
"REM-01","Remove","Sprint 1","Remove binary yes/no checkpoint UI","Frontend","2","High","Backlog","","Impact Report — REMOVE","AC:
- All checkbox / yes/no toggle controls removed from macro checkpoint cards
- Checkpoint cards display name, type badge, reached_at, and evidence count only
- No regression on checkpoint completion flow (completion still works via existing PATCH endpoint)
- UI passes lint and type-check","Quick credibility win with Qasim. No backend change."
"REM-02","Remove","Sprint 1","Remove manual evidence upload flow","Frontend + Backend","3","High","Backlog","REM-01","Impact Report — REMOVE","AC:
- Evidence attachment modal removed from the project detail UI
- POST /api/projects/{id}/checkpoints/{id}/evidence endpoint disabled (returns 410 Gone)
- gate_evidence rows are written only by automated paths (AI analysis, Avoma fetch, system events)
- Existing evidence rows are retained in DB — not deleted
- All related frontend components (EvidenceModal, FileUpload, UploadProgressBar) removed from bundle","Pairs with governance-as-layer model change. Do together."
"REM-03","Remove","Sprint 1","Hide micro gates from project detail UI","Frontend","2","High","Backlog","","Impact Report — REMOVE","AC:
- micro_artifacts section no longer rendered on project detail page
- Micro artifact data still returned by GET /api/projects/{id}/gates (backend unchanged)
- Phase progression visual still shows phase_complete correctly
- No micro artifact rows are deleted from DB
- Audit trail / timeline still surfaces micro events","Data stays, UI hides it. Audit trail unaffected."
"REM-04","Remove","Sprint 1","Remove micro/macro ownership split from data model and UI labels","Backend + Frontend","2","High","Backlog","REM-03","Impact Report — REMOVE","AC:
- 'Micro gate' and 'Macro gate' labels removed from all UI text, tooltips, and badge copy
- casdm_config config_type values unified — no UI or API surfaces the micro/macro split as a distinct class
- API responses no longer include a top-level micro_artifacts vs macro_checkpoints split in the gate status response; all items returned as a flat checkpoints[] array sorted by phase + item_order
- Existing config_type column retained in DB for internal routing only","Single ownership model. Backend routing preserved internally."
"CHG-01","Core","Sprint 1","V005 — Batched schema migration (project fields + weekly_status_logs fields)","Backend","4","High","Backlog","","Future Features Report — Section 1","AC:
- V005__phase3_additions.sql applies cleanly on top of V004 schema
- projects table gains nullable columns: health_status TEXT CHECK IN ('red','amber','green'), actual_kickoff_date DATE, actual_customer_kickoff_date DATE, implementation_lead TEXT, reporter TEXT, assignee TEXT, priority TEXT CHECK IN ('low','medium','high','critical'), resolution TEXT CHECK IN ('unresolved','resolved','cancelled'), request_type TEXT
- weekly_status_logs table gains: completed_this_week TEXT, planned_next_week TEXT
- All new columns are nullable with no DEFAULT to avoid breaking existing rows
- New indexes: idx_projects_health_status, idx_projects_priority
- Migration is idempotent (IF NOT EXISTS / DO $$ guards where applicable)
- Migration runs cleanly on a copy of production schema before merging","Foundational. All Phase 3 features depend on these columns existing."
"CHG-02","Core","Sprint 1","V005b — project_decisions table","Backend","3","High","Backlog","CHG-01","Future Features Report — Section 2","AC:
- New table project_decisions: id UUID PK DEFAULT gen_random_uuid(), project_id UUID NOT NULL FK projects(id) ON DELETE CASCADE, title TEXT NOT NULL, description TEXT, decision_url TEXT, raised_by TEXT NOT NULL, raised_at TIMESTAMPTZ NOT NULL DEFAULT now(), approver TEXT, approved_at TIMESTAMPTZ, status TEXT NOT NULL CHECK IN ('open','approved','rejected') DEFAULT 'open', resolution_notes TEXT, created_at TIMESTAMPTZ NOT NULL DEFAULT now()
- Index: idx_project_decisions_project_id ON project_decisions(project_id)
- Index: idx_project_decisions_status ON project_decisions(status)
- kiro_phase2 runtime role granted INSERT, SELECT, UPDATE on project_decisions and its sequence
- Migration idempotent","Decisions table. No foreign key to users — store names as TEXT consistent with existing pattern."
"CHG-03","Core","Sprint 2","Governance data model — replace artifact storage with source references + scores","Backend","5","High","Backlog","CHG-01","Impact Report — CHANGE","AC:
- gate_evidence table: file_content, file_blob, and any raw transcript TEXT columns dropped from schema (V005c migration)
- gate_evidence retains: id, checkpoint_id, evidence_type, value (URL/S3 key/reference), label, link_metadata JSONB, score NUMERIC(4,2), score_detail JSONB, uploaded_by, created_at
- score and score_detail columns added to gate_evidence if not present
- No Lambda reads raw content from gate_evidence — only reference values
- All existing gate_evidence rows migrated: any raw content moved to S3 reference; DB row updated with s3_key
- Unit tests confirm no handler imports or writes blob content","Foundation for quality scoring. Pairs with CHG-04."
"CHG-04","Core","Sprint 2","Quality scoring chain — Bedrock scores gates; low-confidence gates blocked","Backend","6","High","Backlog","CHG-03,DP-35","Impact Report — CHANGE ⚠️ Watch item","AC:
- POST /api/analysis/{projectId}/{checkpointId}/score triggers Bedrock scoring for a checkpoint
- Reads transcript/document reference from gate_evidence (S3 key or Avoma URL)
- Reads prompt from analysis_prompts for the checkpoint_name; falls back to generic if none
- Invokes Bedrock AgentCore; parses response: {topics_covered[], topics_missing[], passed: boolean, confidence: number 0-1}
- Writes score and score_detail to gate_evidence row
- If confidence < 0.6 AND passed=false: macro_checkpoints.reached_at is NOT set; returns {blocked: true, reason: 'Low confidence score', score}
- If confidence >= 0.6 OR passed=true: checkpoint completion proceeds normally
- Threshold configurable via SSM parameter /deliverpro/config/score-threshold
- Returns 502 AGENT_UNAVAILABLE on AgentCore failure; gate is NOT blocked on infra failure (fail-open)","Strict order: CHG-03 (data model) → this story → CHG-05 (enforcement)."
"CHG-05","Core","Sprint 2","Gate enforcement — phase transition blocked until mandatory checkpoints pass scoring","Backend","4","High","Backlog","CHG-04","Impact Report — CHANGE ⚠️ Watch item","AC:
- GET /api/projects/{id}/gates response includes per-checkpoint: blocked_reason TEXT when a gate has score but confidence < threshold
- POST /api/projects/{id}/advance-phase returns 400 {code: 'PHASE_BLOCKED', missing: string[], blocked: string[]} if any mandatory checkpoint in current phase has reached_at IS NULL or blocked_reason IS NOT NULL
- Frontend phase progression visual shows a lock icon on any checkpoint with blocked_reason
- Leadership/admin role can override a blocked gate via PATCH /api/projects/{id}/checkpoints/{id}/override with required {override_reason: string}
- Override writes to gate_evidence with evidence_type='override' and the reason
- All override events emitted to governance_events table","Leadership override keeps the platform usable without bypassing accountability."
"CHG-06","Core","Sprint 2","Automated project init — provision Slack channels on project creation","Backend","4","High","Backlog","CR-05,CHG-01","Impact Report — CHANGE ⚠️ Watch item (Slack portion)","AC:
- On POST /api/projects, after DB row created, Lambda invokes Slack provisioning step
- Uses provisioning credential (channels:read + channels:manage) from SSM
- Calls conversations.list to check if channels named {jira_key}-micro and {jira_key}-macro already exist
- If not found: calls conversations.create to create both channels
- Stores resulting channel IDs in projects.slack_micro_channel_id and slack_macro_channel_id
- If Slack API fails: project creation succeeds anyway; channels marked as pending in a new projects.slack_provisioning_status TEXT column ('pending'/'provisioned'/'failed')
- Retry endpoint: POST /api/projects/{id}/provision-slack for manual retry by admin
- Bot token used only for chat:write at runtime — provisioning token never stored in DB","Provisioning is best-effort; project creation never blocked by Slack failure."
